X,Y,OBJECTID,COD_SIG,IDTIPO,NOME,MORADA,DESCRICAO,ATORTIPOCODIGO,EMAIL,SITE,REDESOCIAL,DIPLOMADOS,GlobalID
-9.141845498465857,38.707820182475174,454,1501111032001,,Ogilvy & Mather Portugal Publicidade SA,"Rua Vitor Cordon, 37 - 2º",[TOKEN_4045],20103,ogilvy.portugal@ogilvy.com,www.ogilvy.pt,,,1bad7edf-0b55-4d88-af88-098ee322ce62
-9.147974826718615,38.736684870442637,455,2305003045001,,"Brand Actions-Design,Eventos e Publicidade Lda","Avenida 5 Outubro 77,6º-D",[TOKEN_4046],20103,info@brand-actions.com,www.brand-actions.com,,,5f56bb0c-b229-464c-8e65-9700a7ebad19
-9.103792620485439,38.737421534420001,456,2108406002001,,Grafe - Publicidade Lda,Rua José DomingosBarreiros Edifício 3,[TOKEN_4047],20103,info@grafe.pt,www.grafe.pt,,,a4901ab1-ae0c-46a3-b3e8-5ee79ba6046e
-9.156437482209457,38.724661113815955,457,4600101007001,,Young & Rubicam (Portugal)-Publicidade SA,"Avenida Engenheiro Duarte Pacheco Torre 1,7º",[TOKEN_4048],20103,yrbrands@pt.yr.com,yrbrands.pt,,,d7f4d8f8-c924-4fe9-9049-939c05b4833c
-9.161217000119652,38.725875274548777,458,1002603047001,,Lowe Ativism,"Avenida Conselheiro Fernando Sousa 19,7º",[TOKEN_4049],20103,,www.loweandpartners.com/region/contact-portugal/,,,2531876a-0856-4160-bd6f-f0b38bd23d1d
-9.147348026330803,38.707206034528959,459,4901006019001,,Ivity Brand Corp,"Rua D. Luis I, nº19, 3º",[TOKEN_4050],20103,info@ivity-corp.com,www.ivity-corp.com,,,16c275a4-3d09-45f8-9b90-ebb00e0faebd
-9.150836670567609,38.737187777256644,460,2303502012001,,Addmore-Publicidade Lda,"Avenida Conde Valbom 82,7º-D",[TOKEN_4051],20103,branding@addmore.pt,www.addmore.pt/,,,2c740131-3ada-4db1-b609-ee6ac9c4c6b7
-9.146521717304891,38.720319858985526,617,1401011012001,,Eurobest,"Cinema de S. Jorge, Avenida da Liberdade",[TOKEN_4136],20103,cinemasaojorge@egeac.pt,www.eurobest.com,,,3b235433-aa77-48a6-83ed-b08f31ca1ff9
-9.146825938962387,38.743727901132253,618,2304402020001,,Orange-Original Communication,"Avenida República 60,8º-D,",[TOKEN_4137],20103,info.orange@orangepub.pt,www.orangepub.pt,,,551b3b45-7dd2-4a34-9e29-1e741f702b87
-9.160829708552898,38.724551259913476,619,1002604003001,,BBDO Portugal,Avenida Engenheiro Duarte Pacheco,[TOKEN_4138],20103,info@bbdo.pt,www.bbdo.pt,,,2b1a26eb-388e-4783-83ce-0c6f5c0d50d7
-9.17044538135529,38.702488548194893,620,2602405005001,,Brandia Central,"Edifício Gonçalves Zarco, Doca de Alcântara",[TOKEN_4139],20103,contacto@brandiacentral.com,www.brandiacentral.com,,,9eb736ca-0250-4477-92a3-57c24c56a679
-9.145897300147546,38.712493680114719,621,2801402006002,,Billy the Group,"Edifício Interpress, R. Luz Soriano",[TOKEN_4140],20103,lisbon@billythegroup.com,www.billythegroup.com,,,688936ae-308d-45ce-a517-8297241b2398
-9.151331533592989,38.722182430105704,622,4601402005001,,Ray Gun Publicidade Unipessoal Lda,"Rua Castilho 23,6º-B",[TOKEN_4141],20103,sofia.simoes@ray-gun.pt,www.ray-gun.pt,,,9210ad77-82a8-4d17-87b3-ee5f93698a54
-9.141505204958147,38.735709730830521,623,4302303011001,,Ideal Line-Marketing de Comunicação Lda,"Rua Dona Filipa Vilhena 4,5º-E",[TOKEN_4142],20103,geral@ideal-line.pt,www.ideal-line.pt,,,ecfdbd42-5e5e-46c3-b6b0-76870abbb3f8
-9.147534297394841,38.727801264852971,624,1400101015001,,Laranja Mecânica-Publicidade Lda,"Largo Andaluz 15-D,2º",[TOKEN_4143],20103,laranja@laranjamecanica.pt,www.laranjamecanica.pt,,,38585bc4-1032-48c7-9fd4-96e7e1c52895
